# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Feb  5 08:20:20 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0254 0.25579 10.00000 0.0958948880 1.1358702183    0.096 -3.343  3.3628  5.166    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.46e-17      0.00 6.782e-01 2.959e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 13.129 15.235 18.030 13.753
0.0254 0.25579 10.00000 0.1058055684 1.2178499699    0.105 -3.205  3.3804  5.139    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.35e-17      0.00 6.778e-01 2.963e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 12.782 14.887 17.674 13.407
0.0254 0.25579 10.00000 0.1256269366 1.3553091288    0.125 -2.983  3.4068  5.098    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.83e-17      0.00 6.772e-01 2.970e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 12.227 14.330 17.102 12.851
0.0254 0.25579 10.00000 0.1454483122 1.4671177864    0.145 -2.814  3.4253  5.066    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.7e-17      0.00 6.765e-01 2.976e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 11.804 13.789 16.405 12.337
0.0254 0.25579 10.00000 0.1652696729 1.5606881380    0.165 -2.679  3.4388  5.041    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.88e-17      0.00 6.760e-01 2.981e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 11.469 13.263 15.650 11.856
0.0254 0.25579 10.00000 0.2049123943 1.7102832794    0.204 -2.464  3.4584  4.998    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.16e-16      0.00 6.750e-01 2.991e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 10.930 12.470 14.555 11.127
0.0254 0.25579 10.00000 0.2544658184 1.8515315056    0.254 -2.258  3.4740  4.949    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-16      0.00 6.742e-01 2.999e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 10.416 11.778 13.655 10.484
0.0254 0.25579 10.00000 0.3118847013 1.9761198759    0.312 -2.066  3.4876  4.900    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.64e-16      0.00 6.752e-01 2.989e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 9.935 11.153 12.859 9.903
0.0254 0.25579 10.00000 0.3415722251 2.0293843746    0.341 -1.979  3.4934  4.875    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.35e-16      0.00 6.781e-01 2.960e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 9.716 10.880 12.523 9.648
0.0254 0.25579 10.00000 0.3535726666 2.0492343903    0.353 -1.945  3.4956  4.866    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.76e-16      0.00 6.791e-01 2.950e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 9.632 10.777 12.399 9.551
0.0254 0.25579 10.00000 0.4031261206 2.1227879524    0.403 -1.804  3.5071  4.828    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.2e-15      0.00 6.794e-01 2.947e-01 4.656e-03 1.256e-03 1.139e-02 -1.000 2.589e-02 9.281 10.332 11.850 9.138
